,,,,,All Type of Report (All Grades) for 01-Jan-2021 to 02-Jul-2026,,,,
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,30-04-2021,28.60,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,03-05-2021,89.20,Metric Tonnes,709.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,03-05-2021,26.10,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,04-05-2021,685.60,Metric Tonnes,740.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,04-05-2021,28.30,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,05-05-2021,571.50,Metric Tonnes,740.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,05-05-2021,29.80,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,06-05-2021,1057.00,Metric Tonnes,726.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,06-05-2021,29.90,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,07-05-2021,672.60,Metric Tonnes,726.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,07-05-2021,21.60,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,08-05-2021,677.70,Metric Tonnes,711.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,08-05-2021,31.20,Metric Tonnes,650.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Potato,10-05-2021,157.20,Metric Tonnes,711.00,Rs./Quintal
NCT of Delhi,Delhi,APMC Azadpur,Vegetables,Spinach,10-05-2021,26.10,Metric Tonnes,650.00,Rs./Quintal
